Asensetek Spectrum Genius V3.1.1,,,,,
,1,,,,
File Name,2 channel test-single-20211213-151240,Max.,Min.,Range,Avg.
683,0.00867174,,,,
684,0.0082937,,,,
685,0.00820886,,,,
686,0.00849084,,,,
687,0.00896824,,,,
688,0.00945175,,,,
689,0.00982387,,,,
690,0.00994787,,,,
691,0.0099591,,,,
692,0.0100504,,,,
693,0.0103051,,,,
694,0.0107276,,,,
695,0.0112851,,,,
696,0.0116766,,,,
697,0.0115449,,,,
698,0.0111124,,,,
699,0.0107211,,,,
700,0.0104114,,,,
701,0.0102117,,,,
702,0.0101725,,,,
703,0.0102108,,,,
704,0.0101237,,,,
705,0.00978708,,,,
706,0.00917594,,,,
707,0.00858998,,,,
708,0.00829989,,,,
709,0.008246,,,,
710,0.00829973,,,,
711,0.00828877,,,,
712,0.00822827,,,,
713,0.00824366,,,,
714,0.00839496,,,,
715,0.00870661,,,,
716,0.00907976,,,,
717,0.00940226,,,,
718,0.00955477,,,,
719,0.00942439,,,,
720,0.0089995,,,,
721,0.00848222,,,,
722,0.00818515,,,,
723,0.0080213,,,,
724,0.00775085,,,,
725,0.00742568,,,,
726,0.00716711,,,,
727,0.00710689,,,,
728,0.0072901,,,,
729,0.00752259,,,,
730,0.0077658,,,,
731,0.00817736,,,,
732,0.00862934,,,,
733,0.00884786,,,,
734,0.00893398,,,,
735,0.00909167,,,,
736,0.00920964,,,,
737,0.0091865,,,,
738,0.00910532,,,,
739,0.00901115,,,,
740,0.00887193,,,,
741,0.00867082,,,,
742,0.00838246,,,,
743,0.00809309,,,,
744,0.00794832,,,,
745,0.00787244,,,,
746,0.00776245,,,,
747,0.00776036,,,,
748,0.00795092,,,,
749,0.00812512,,,,
750,0.00822362,,,,
751,0.00844286,,,,
752,0.00878808,,,,
753,0.0090766,,,,
754,0.00924808,,,,
755,0.00930963,,,,
756,0.00926086,,,,
757,0.00908656,,,,
758,0.00875472,,,,
759,0.00826944,,,,
760,0.00767864,,,,
761,0.00704817,,,,
762,0.00655992,,,,
763,0.00629683,,,,
764,0.00611685,,,,
765,0.00601612,,,,
766,0.00618922,,,,
767,0.0067157,,,,
768,0.00763856,,,,
769,0.00875098,,,,
770,0.0097156,,,,
771,0.0105556,,,,
772,0.01124,,,,
773,0.0116804,,,,
774,0.0119835,,,,
775,0.0130524,,,,
776,0.0124479,,,,
777,0.0119602,,,,
778,0.0119224,,,,
779,0.0123976,,,,
780,0.0133065,,,,
Product Name,2 channel test,,,,
Manufacture,,,,,
timestamp,13/12/2021 15:11,,,,
File Name,2 channel test-single-20211213-151240.txt,,,,
User,,,,,
Temperature(?),0,,,,
Humidity(%),,,,,
Distance(m),,,,,
Lamp warm-up period(min),,,,,
With Background,NO,,,,
SG-PC Measure,NO,,,,
Latitude,51.5476955,,,,
Longitude,0.170692,,,,
Device Name,LPP00480B15002BZ,,,,
,,,,,
Flicker %,,,,,
Flicker Index,,,,,
Flicker Frequency,,,,,
Notes,620@ 50\n475 @ 75 ,,,,
