Asensetek Spectrum Genius V3.1.1
,1,
File Name,548-single-20211105-115457,Max.,Min.,Range,Avg.,
738,0.0253307,
739,0.0247346,
740,0.024178,
741,0.0238017,
742,0.0235578,
743,0.0233539,
744,0.0230609,
745,0.0227281,
746,0.0224085,
747,0.0219194,
748,0.0211995,
749,0.0205926,
750,0.0202826,
751,0.0200133,
752,0.0196925,
753,0.0194036,
754,0.019126,
755,0.0187727,
756,0.0184059,
757,0.0181499,
758,0.0180354,
759,0.0180339,
760,0.017975,
761,0.0177445,
762,0.0175158,
763,0.0173289,
764,0.0170155,
765,0.0165866,
766,0.0162286,
767,0.0159101,
768,0.015513,
769,0.0150521,
770,0.0145908,
771,0.0141864,
772,0.0138769,
773,0.0135932,
774,0.0133359,
775,0.0134254,
776,0.0135398,
777,0.0136474,
778,0.0138156,
779,0.0139752,
780,0.0139883,
Product Name,548,
Manufacture,,
timestamp,2021/11/5 11:54:45,
File Name,C:\Users\cege\Desktop\LED chips\548single20211105115457\548-single-20211105-115457.txt,
User,,
Temperature(?),,
Humidity(%),,
Distance(m),,
Lamp warm-up period(min),,
With Background,YES,
SG-PC Measure,NO,
Latitude,51.5476347,
Longitude,0.1709412,
Device Name,LPP00480B15002BZ,
,,
Flicker %,,
Flicker Index,,
Flicker Frequency,,
Notes,"",
